Sample	BAIT_SET	BAIT_TERRITORY	BAIT_DESIGN_EFFICIENCY	ON_BAIT_BASES	NEAR_BAIT_BASES	OFF_BAIT_BASES	PCT_SELECTED_BASES	PCT_OFF_BAIT	ON_BAIT_VS_SELECTED	MEAN_BAIT_COVERAGE	PCT_USABLE_BASES_ON_BAIT	PCT_USABLE_BASES_ON_TARGET	FOLD_ENRICHMENT	HS_LIBRARY_SIZE	HS_PENALTY_10X	HS_PENALTY_20X	HS_PENALTY_30X	HS_PENALTY_40X	HS_PENALTY_50X	HS_PENALTY_100X	TARGET_TERRITORY	GENOME_SIZE	TOTAL_READS	PF_READS	PF_BASES	PF_UNIQUE_READS	PF_UQ_READS_ALIGNED	PF_BASES_ALIGNED	PF_UQ_BASES_ALIGNED	ON_TARGET_BASES	PCT_PF_READS	PCT_PF_UQ_READS	PCT_PF_UQ_READS_ALIGNED	MEAN_TARGET_COVERAGE	MEDIAN_TARGET_COVERAGE	MAX_TARGET_COVERAGE	MIN_TARGET_COVERAGE	ZERO_CVG_TARGETS_PCT	PCT_EXC_DUPE	PCT_EXC_ADAPTER	PCT_EXC_MAPQ	PCT_EXC_BASEQ	PCT_EXC_OVERLAP	PCT_EXC_OFF_TARGET	FOLD_80_BASE_PENALTY	PCT_TARGET_BASES_1X	PCT_TARGET_BASES_2X	PCT_TARGET_BASES_10X	PCT_TARGET_BASES_20X	PCT_TARGET_BASES_30X	PCT_TARGET_BASES_40X	PCT_TARGET_BASES_50X	PCT_TARGET_BASES_100X	AT_DROPOUT	GC_DROPOUT	HET_SNP_SENSITIVITY	HET_SNP_Q	SAMPLE	LIBRARY	READ_GROUP
NA12878-NA12878-1-CEN-F-EGG5	targets	685969.0	1.0	2359919359.0	1129743023.0	3025664077.0	0.535608	0.464392	0.67626	3440.271148	0.3569	0.163757	1656.662069	13313837.0	6.628709	6.652831	6.676952	6.693033	6.715547	6.818466	685969.0	3137454505.0	45676808.0	45676808.0	6612265156.0	33434627.0	33351884.0	6515326459.0	4764779515.0	1082804623.0	1.0	0.731983	0.997525	1578.503727	1547.0	3463.0	0.0	0.000307	0.268681	0.0	0.053173	0.016286	0.147072	0.348642	1.503337	0.999974	0.999786	0.99973	0.99963	0.999494	0.999315	0.999278	0.99884	12.334272	0.323583	0.156195	1.0			
X221838-GM2212472-1-CEN-M-EGG5	targets	685969.0	1.0	1869982940.0	900146405.0	2564416379.0	0.519281	0.480719	0.675053	2726.045842	0.345173	0.156115	1603.293935	10189107.0	5.806794	5.826624	5.842047	5.859673	5.880825	5.976008	685969.0	3137454505.0	37155698.0	37155698.0	5417517068.0	26995303.0	26922083.0	5334545724.0	3872156721.0	845756823.0	1.0	0.726545	0.997288	1232.937382	1271.0	4909.0	0.0	0.000307	0.274136	0.0	0.049366	0.017933	0.149823	0.350248	1.264551	0.999974	0.999895	0.999482	0.999296	0.999128	0.999047	0.999007	0.998595	5.835189	0.537678	0.19694	1.0			
X222501-GM1509411-1-CEN-F-EGG5	targets	685969.0	1.0	1788946698.0	935696660.0	2841557122.0	0.489498	0.510502	0.65658	2607.911871	0.313458	0.121292	1469.980263	6681554.0	10.787634	10.877598	10.94757	11.042532	11.123499	11.603307	685969.0	3137454505.0	38860770.0	38860770.0	5707140552.0	25716596.0	25515225.0	5566200480.0	3677614868.0	692230860.0	1.0	0.661762	0.99217	1009.128488	814.0	3405.0	0.0	0.000288	0.339295	0.0	0.069556	0.02236	0.094911	0.34955	2.014229	0.999774	0.999754	0.999697	0.999679	0.999625	0.999576	0.99952	0.99934	17.99858	1.197315	0.591946	4.0			
X222807-GM2220649-1-CEN-M-EGG5	targets	685969.0	1.0	1268210093.0	617667147.0	1691199869.0	0.527212	0.472788	0.672478	1848.786305	0.34972	0.176146	1621.570558	8926690.0	5.611474	5.628578	5.654233	5.671337	5.688441	5.797905	685969.0	3137454505.0	24915280.0	24915280.0	3626361562.0	19071906.0	19034280.0	3577077109.0	2737229468.0	638768132.0	1.0	0.76547	0.998027	931.190961	952.0	2565.0	0.0	0.00048	0.234786	0.0	0.053933	0.017365	0.152657	0.362734	1.304189	0.999701	0.99959	0.999246	0.99906	0.998878	0.998704	0.998573	0.998042	6.826698	0.687815	0.545949	3.0			
X222825-gm2220656-1-CEN-F-EGG5	targets	685969.0	1.0	1904291219.0	920963327.0	2503075125.0	0.530233	0.469767	0.674025	2776.06017	0.352465	0.166821	1634.61404	11695526.0	5.399362	5.412377	5.425391	5.438406	5.451421	5.524304	685969.0	3137454505.0	37290954.0	37290954.0	5402777937.0	27833513.0	27774957.0	5328329671.0	3974641605.0	901295449.0	1.0	0.746388	0.997896	1313.901137	1319.0	3217.0	0.0	0.000327	0.254055	0.0	0.049255	0.016744	0.1545	0.356343	1.219964	0.999854	0.999783	0.999614	0.999338	0.999185	0.999087	0.998927	0.99848	5.259586	0.471664	0.122376	1.0			
X222827-GM2220712-1-CEN-F-EGG5	targets	685969.0	1.0	2046217234.0	1002708427.0	2631740819.0	0.53672	0.46328	0.671127	2982.958755	0.355482	0.148853	1647.499887	9332628.0	5.524034	5.545831	5.567628	5.58216	5.596691	5.701317	685969.0	3137454505.0	39575444.0	39575444.0	5756179406.0	27415420.0	27357446.0	5680666480.0	3930633283.0	856822595.0	1.0	0.692738	0.997885	1249.068974	1262.0	2240.0	0.0	0.000384	0.308068	0.0	0.048479	0.014574	0.138965	0.33913	1.201028	0.999889	0.999781	0.999633	0.999405	0.999222	0.999029	0.998996	0.998689	4.679355	0.432233	0.145971	1.0			
X222829-GM2220554-1-CEN-F-EGG5	targets	685969.0	1.0	2656970576.0	1286120195.0	3450009391.0	0.533347	0.466653	0.673829	3873.309983	0.354119	0.148933	1643.739918	12255665.0	5.550808	5.56949	5.585059	5.597513	5.612459	5.687187	685969.0	3137454505.0	51565352.0	51565352.0	7503054832.0	35530934.0	35429574.0	7393100162.0	5088412229.0	1117455282.0	1.0	0.689047	0.997147	1629.017174	1637.0	3923.0	0.0	0.000307	0.311735	0.0	0.046222	0.015378	0.140985	0.334578	1.216592	0.999803	0.999786	0.999714	0.999367	0.999213	0.999137	0.999054	0.998812	5.493392	0.43147	0.032124	0.0			
X222833-GM2220315-1-CEN-M-EGG5	targets	685969.0	1.0	2117911827.0	1026863075.0	2778997907.0	0.530874	0.469126	0.67347	3087.474546	0.352243	0.15777	1635.24349	11111794.0	5.67391	5.688645	5.70338	5.718115	5.73285	5.827155	685969.0	3137454505.0	41167138.0	41167138.0	6012649825.0	29548788.0	29462842.0	5923772809.0	4247967123.0	948613219.0	1.0	0.717776	0.997091	1382.880595	1430.0	3482.0	0.0	0.000288	0.282895	0.0	0.047659	0.016939	0.14486	0.347558	1.262905	0.999824	0.999781	0.999534	0.99927	0.999171	0.999067	0.998873	0.998383	5.799908	0.635493	0.137973	1.0			
X222848-GM2220607-1-CEN-M-EGG5	targets	685969.0	1.0	2032001145.0	991608108.0	2755591888.0	0.523188	0.476812	0.672045	2962.234656	0.346108	0.139774	1608.15937	8533321.0	6.524446	6.554778	6.580054	6.615441	6.636673	6.782264	685969.0	3137454505.0	40210322.0	40210322.0	5870999129.0	27602826.0	27509331.0	5779201141.0	3962102846.0	820614670.0	1.0	0.686461	0.996613	1196.285357	1176.0	2828.0	0.0	0.000288	0.31442	0.0	0.053819	0.016408	0.130794	0.342609	1.347168	0.999971	0.99979	0.999678	0.999552	0.999474	0.999395	0.999313	0.998787	10.071818	0.548987	0.285219	1.0			
X222849-GM2220605-1-CEN-M-EGG5	targets	685969.0	1.0	2191141401.0	1058657931.0	2929821131.0	0.52589	0.47411	0.674239	3194.228021	0.349557	0.153946	1621.741198	11094790.0	5.67242	5.687762	5.700547	5.726117	5.741459	5.827373	685969.0	3137454505.0	43012964.0	43012964.0	6268333490.0	30352049.0	30278245.0	6179620463.0	4357470154.0	964985277.0	1.0	0.705649	0.997568	1406.747647	1456.0	2628.0	0.0	0.000307	0.294864	0.0	0.051246	0.016117	0.142929	0.338734	1.252669	0.999972	0.999878	0.999624	0.999455	0.999296	0.999187	0.99913	0.998749	5.406098	0.640242	0.127679	1.0			
X222859-GM2220490-1-CEN-M-EGG5	targets	685969.0	1.0	2390091323.0	1147582409.0	3408287133.0	0.509314	0.490686	0.675611	3484.25559	0.337449	0.100339	1573.820183	6076661.0	12.818482	12.943918	13.069354	13.215697	13.353676	14.056118	685969.0	3137454505.0	48540810.0	48540810.0	7082819153.0	28770264.0	28612448.0	6945960865.0	4106569191.0	710681691.0	1.0	0.592703	0.994515	1036.025959	831.0	3664.0	0.0	0.000231	0.408783	0.0	0.063114	0.015799	0.097542	0.312484	2.19963	0.999809	0.999797	0.999749	0.999735	0.999689	0.999624	0.999585	0.999208	20.440322	1.398559	0.572187	4.0			
