Sample	BAIT_SET	BAIT_TERRITORY	BAIT_DESIGN_EFFICIENCY	ON_BAIT_BASES	NEAR_BAIT_BASES	OFF_BAIT_BASES	PCT_SELECTED_BASES	PCT_OFF_BAIT	ON_BAIT_VS_SELECTED	MEAN_BAIT_COVERAGE	PCT_USABLE_BASES_ON_BAIT	PCT_USABLE_BASES_ON_TARGET	FOLD_ENRICHMENT	HS_LIBRARY_SIZE	HS_PENALTY_10X	HS_PENALTY_20X	HS_PENALTY_30X	HS_PENALTY_40X	HS_PENALTY_50X	HS_PENALTY_100X	TARGET_TERRITORY	GENOME_SIZE	TOTAL_READS	PF_READS	PF_BASES	PF_UNIQUE_READS	PF_UQ_READS_ALIGNED	PF_BASES_ALIGNED	PF_UQ_BASES_ALIGNED	ON_TARGET_BASES	PCT_PF_READS	PCT_PF_UQ_READS	PCT_PF_UQ_READS_ALIGNED	MEAN_TARGET_COVERAGE	MEDIAN_TARGET_COVERAGE	MAX_TARGET_COVERAGE	MIN_TARGET_COVERAGE	ZERO_CVG_TARGETS_PCT	PCT_EXC_DUPE	PCT_EXC_ADAPTER	PCT_EXC_MAPQ	PCT_EXC_BASEQ	PCT_EXC_OVERLAP	PCT_EXC_OFF_TARGET	FOLD_80_BASE_PENALTY	PCT_TARGET_BASES_1X	PCT_TARGET_BASES_2X	PCT_TARGET_BASES_10X	PCT_TARGET_BASES_20X	PCT_TARGET_BASES_30X	PCT_TARGET_BASES_40X	PCT_TARGET_BASES_50X	PCT_TARGET_BASES_100X	AT_DROPOUT	GC_DROPOUT	HET_SNP_SENSITIVITY	HET_SNP_Q	SAMPLE	LIBRARY	READ_GROUP
NA12878-NA12878-1-CEN-F-EGG5	targets	685969.0	1.0	2862284011.0	1337369815.0	3136286606.0	0.572477	0.427523	0.681552	4172.61423	0.385065	0.155695	1784.554746	12377336.0	5.116822	5.134934	5.147009	5.153047	5.171159	5.243609	685969.0	3137454505.0	51668556.0	51668556.0	7433250093.0	33770655.0	33676128.0	7335940432.0	4787198884.0	1157322953.0	1.0	0.653602	0.997201	1687.135939	1689.0	3353.0	0.0	0.000288	0.347432	0.0	0.046752	0.012056	0.139253	0.29679	1.234189	0.999805	0.999781	0.999723	0.999458	0.999348	0.999226	0.99909	0.998828	6.085946	0.408705	0.03241	0.0			
X223462-GM2225671-1-CEN-F-EGG5	targets	685969.0	1.0	2152847095.0	1006240474.0	2671297931.0	0.541832	0.458168	0.681477	3138.402894	0.364408	0.144368	1688.841381	9057960.0	5.340815	5.355362	5.369908	5.391728	5.410638	5.503736	685969.0	3137454505.0	41381266.0	41381266.0	5907789657.0	26828412.0	26759716.0	5830385500.0	3779278806.0	852898685.0	1.0	0.648323	0.997439	1243.34873	1259.0	3787.0	0.0	0.000346	0.351796	0.0	0.046428	0.011716	0.14072	0.303103	1.200144	0.999966	0.999774	0.999526	0.999254	0.999096	0.998987	0.998853	0.998262	4.356415	0.474581	0.151788	1.0			
X223467-GM2225720-1-CEN-F-EGG5	targets	685969.0	1.0	2488975135.0	1168482711.0	3038782841.0	0.546196	0.453804	0.680521	3628.407603	0.366624	0.136246	1700.052957	9346852.0	5.387725	5.404831	5.421937	5.447597	5.462992	5.558787	685969.0	3137454505.0	47546748.0	47546748.0	6788896580.0	29777053.0	29689530.0	6696240687.0	4190685600.0	924957589.0	1.0	0.626269	0.997061	1348.395611	1373.0	2585.0	0.0	0.000384	0.374173	0.0	0.042321	0.011712	0.136243	0.297466	1.185924	0.999797	0.999732	0.999551	0.999262	0.999138	0.999032	0.998969	0.998583	3.882591	0.474167	0.090468	0.0			
X223469-GM2225536-1-CEN-M-EGG5	targets	685969.0	1.0	1900174772.0	879670818.0	2280836544.0	0.549303	0.450697	0.683554	2770.059248	0.370274	0.153267	1717.344547	8577596.0	5.508743	5.533596	5.554307	5.57709	5.59573	5.715027	685969.0	3137454505.0	35630660.0	35630660.0	5131804341.0	23642109.0	23568972.0	5060682134.0	3356314209.0	786534640.0	1.0	0.663533	0.996906	1146.603768	1164.0	3270.0	0.0	0.000403	0.336786	0.0	0.048373	0.012458	0.143521	0.303489	1.286873	0.999869	0.999694	0.999436	0.999232	0.99905	0.99888	0.998746	0.998185	6.550302	0.772357	0.266201	1.0			
X223513-GM2225830-1-CEN-F-EGG5	targets	685969.0	1.0	1509573085.0	686822388.0	1870886823.0	0.540015	0.459985	0.687296	2200.643302	0.365615	0.158172	1697.550782	7834249.0	5.413206	5.433299	5.453392	5.473485	5.501615	5.622172	685969.0	3137454505.0	28781548.0	28781548.0	4128858772.0	20456480.0	20384149.0	4067282296.0	2887538749.0	653068489.0	1.0	0.71075	0.996464	952.037904	962.0	1612.0	0.0	0.0005	0.290057	0.0	0.046018	0.014705	0.162179	0.32653	1.218999	0.999789	0.999767	0.999414	0.999233	0.999038	0.998904	0.998786	0.998098	5.265955	0.38743	0.536842	3.0			
X223515-GM2225938-1-CEN-F-EGG5	targets	685969.0	1.0	1979937768.0	914323077.0	2520745700.0	0.534489	0.465511	0.684091	2886.337091	0.36065	0.153048	1672.343557	9696206.0	5.391671	5.405048	5.422883	5.445177	5.458553	5.554862	685969.0	3137454505.0	38332804.0	38332804.0	5489913847.0	26486146.0	26412957.0	5415006545.0	3738672858.0	840217981.0	1.0	0.690952	0.997237	1224.862903	1242.0	2365.0	0.0	0.000327	0.309572	0.0	0.048795	0.013322	0.152627	0.32057	1.206761	0.999802	0.999675	0.999446	0.999315	0.999109	0.998926	0.998816	0.998201	4.754831	0.467977	0.167991	1.0			
X223516-GM2225985-1-CEN-F-EGG5	targets	685969.0	1.0	1962864178.0	907038518.0	2540357912.0	0.530456	0.469544	0.683948	2861.447351	0.358204	0.156153	1659.37679	10192759.0	5.49027	5.503635	5.516999	5.543728	5.559766	5.645298	685969.0	3137454505.0	38323062.0	38323062.0	5479735650.0	27129662.0	27073278.0	5410260608.0	3827687330.0	855679676.0	1.0	0.70792	0.997922	1247.402836	1249.0	3365.0	0.0	0.000442	0.292513	0.0	0.047393	0.013259	0.157684	0.331044	1.222944	0.999913	0.999777	0.99937	0.999258	0.999109	0.999006	0.998927	0.998507	5.645961	0.532835	0.164961	1.0			
X223517-GM2225794-1-CEN-F-EGG5	targets	685969.0	1.0	1630294341.0	751137884.0	2000573252.0	0.543457	0.456543	0.684586	2376.629762	0.367099	0.136003	1701.633599	6098708.0	5.68234	5.705348	5.732191	5.762869	5.799682	5.965342	685969.0	3137454505.0	30900684.0	30900684.0	4441024518.0	20030864.0	19977237.0	4382005477.0	2836330210.0	603992661.0	1.0	0.648234	0.997323	880.495563	885.0	2093.0	0.0	0.000538	0.352732	0.0	0.047859	0.012024	0.141284	0.308318	1.202863	0.999786	0.999759	0.999522	0.999242	0.999076	0.998882	0.998713	0.998036	5.282273	0.42243	0.719736	6.0			
X223520-GM2225876-1-CEN-F-EGG5	targets	685969.0	1.0	1458395228.0	842181847.0	2754780467.0	0.455077	0.544923	0.633926	2126.03664	0.283512	0.157238	1319.460232	12352099.0	7.806233	7.829871	7.853509	7.888966	7.919696	8.05207	685969.0	3137454505.0	35303380.0	35303380.0	5144034829.0	27503700.0	27420476.0	5055357542.0	3946211324.0	808836994.0	1.0	0.779067	0.996974	1179.115957	1115.0	3334.0	0.0	0.000231	0.2194	0.0	0.05908	0.019863	0.126867	0.414841	1.595556	0.999943	0.999796	0.999726	0.999544	0.999434	0.999394	0.999363	0.998822	7.925536	1.38187	0.386603	2.0			
X223527-GM2226304-1-CEN-F-EGG5	targets	685969.0	1.0	1899837388.0	890654502.0	2405716038.0	0.537025	0.462975	0.680825	2769.567412	0.360709	0.156427	1672.25636	9701921.0	5.37393	5.386783	5.40392	5.425341	5.443336	5.535877	685969.0	3137454505.0	36695628.0	36695628.0	5266955041.0	25821607.0	25757012.0	5196207928.0	3653224203.0	823896532.0	1.0	0.70367	0.997498	1201.069629	1212.0	2448.0	0.0	0.000384	0.296944	0.0	0.051636	0.014679	0.151225	0.32701	1.207105	0.999293	0.998994	0.998829	0.998525	0.998086	0.997778	0.997742	0.997447	4.8445	0.500302	0.181904	1.0			
X223558-GM2224651-1-CEN-F-EGG5	targets	685969.0	1.0	1723269339.0	795044300.0	2212805667.0	0.532287	0.467713	0.684295	2512.167954	0.358683	0.156287	1665.950942	8931645.0	5.411781	5.434806	5.450156	5.469343	5.494671	5.586772	685969.0	3137454505.0	33544728.0	33544728.0	4804441889.0	23391074.0	23304458.0	4731119306.0	3295542695.0	750870771.0	1.0	0.69731	0.996297	1094.613271	1106.0	2840.0	0.0	0.000519	0.303433	0.0	0.053699	0.014442	0.151769	0.317997	1.228522	0.999787	0.999768	0.999478	0.999261	0.999096	0.998959	0.998864	0.998401	5.338939	0.386526	0.298945	2.0			
X223643-GM2227154-1-CEN-M-EGG5	targets	685969.0	1.0	2245205189.0	1031059677.0	2761618823.0	0.542618	0.457382	0.685294	3273.041769	0.367239	0.144749	1700.764733	9196994.0	5.592583	5.607956	5.633578	5.654075	5.666374	5.77706	685969.0	3137454505.0	42196606.0	42196606.0	6113752191.0	27859080.0	27793887.0	6037883689.0	3984075132.0	884958294.0	1.0	0.660221	0.99766	1290.084966	1349.0	3863.0	0.0	0.00048	0.340154	0.0	0.047186	0.011466	0.144873	0.309802	1.238085	0.999608	0.999589	0.999258	0.999141	0.999036	0.998955	0.998843	0.998458	4.564664	0.452177	0.163319	1.0			
X223705-GM2224632-1-CEN-M-EGG5	targets	685969.0	1.0	1611628753.0	766990804.0	2110087270.0	0.529912	0.470088	0.677548	2349.41922	0.353956	0.161644	1642.164704	9118774.0	5.40685	5.417747	5.446808	5.461338	5.478775	5.574675	685969.0	3137454505.0	31622154.0	31622154.0	4553187306.0	22730820.0	22664889.0	4488706827.0	3224857550.0	735993246.0	1.0	0.718826	0.997099	1072.924937	1124.0	2139.0	0.0	0.000346	0.281562	0.0	0.049169	0.01458	0.152838	0.337938	1.229009	0.999825	0.999601	0.99945	0.999321	0.999173	0.999041	0.998982	0.998404	2.312804	0.798278	0.293175	2.0			
X223714-GM2217002-1-CEN-M-EGG5	targets	685969.0	1.0	2361843076.0	1077772234.0	3019902527.0	0.532488	0.467512	0.686659	3443.075527	0.360582	0.149486	1672.337332	11017997.0	5.759145	5.775402	5.797077	5.807915	5.833926	5.91846	685969.0	3137454505.0	45651938.0	45651938.0	6550092596.0	31548464.0	31455713.0	6459517837.0	4458972406.0	979143979.0	1.0	0.691065	0.99706	1427.388088	1476.0	3553.0	0.0	0.000288	0.309705	0.0	0.050697	0.01294	0.152913	0.322215	1.260944	0.999901	0.999777	0.999493	0.999324	0.999118	0.998993	0.998879	0.998429	5.938507	0.601598	0.129091	1.0			
X223716-GM2225538-1-CEN-F-EGG5	targets	685969.0	1.0	2496414107.0	1176963501.0	3043548828.0	0.546884	0.453116	0.679596	3639.252076	0.366659	0.14232	1699.882815	10059314.0	5.30225	5.319172	5.341736	5.353017	5.373324	5.454553	685969.0	3137454505.0	47459344.0	47459344.0	6808552818.0	30440559.0	30353641.0	6716926436.0	4306491606.0	968993875.0	1.0	0.641403	0.997145	1412.591349	1435.0	3504.0	0.0	0.000307	0.35886	0.0	0.045278	0.011951	0.138277	0.30142	1.190052	0.999803	0.999786	0.999539	0.999343	0.99927	0.999171	0.999058	0.998761	3.893336	0.456438	0.069303	0.0			
X223722-GM2225489-1-CEN-F-EGG5	targets	685969.0	1.0	2328824629.0	1139535154.0	2923654580.0	0.542608	0.457392	0.671448	3394.941505	0.359547	0.145469	1666.372119	9575872.0	5.218957	5.242851	5.261435	5.27471	5.295418	5.371879	685969.0	3137454505.0	44275618.0	44275618.0	6477104266.0	28492927.0	28407037.0	6392014363.0	4111915078.0	942219233.0	1.0	0.643535	0.996986	1373.559495	1398.0	3302.0	0.0	0.000346	0.356711	0.0	0.046216	0.012547	0.128685	0.308479	1.193362	0.9998	0.999783	0.999439	0.999306	0.999112	0.999039	0.998958	0.998558	3.77464	0.511414	0.080194	0.0			
