Sample	BAIT_SET	BAIT_TERRITORY	BAIT_DESIGN_EFFICIENCY	ON_BAIT_BASES	NEAR_BAIT_BASES	OFF_BAIT_BASES	PCT_SELECTED_BASES	PCT_OFF_BAIT	ON_BAIT_VS_SELECTED	MEAN_BAIT_COVERAGE	PCT_USABLE_BASES_ON_BAIT	PCT_USABLE_BASES_ON_TARGET	FOLD_ENRICHMENT	HS_LIBRARY_SIZE	HS_PENALTY_10X	HS_PENALTY_20X	HS_PENALTY_30X	HS_PENALTY_40X	HS_PENALTY_50X	HS_PENALTY_100X	TARGET_TERRITORY	GENOME_SIZE	TOTAL_READS	PF_READS	PF_BASES	PF_UNIQUE_READS	PF_UQ_READS_ALIGNED	PF_BASES_ALIGNED	PF_UQ_BASES_ALIGNED	ON_TARGET_BASES	PCT_PF_READS	PCT_PF_UQ_READS	PCT_PF_UQ_READS_ALIGNED	MEAN_TARGET_COVERAGE	MEDIAN_TARGET_COVERAGE	MAX_TARGET_COVERAGE	MIN_TARGET_COVERAGE	ZERO_CVG_TARGETS_PCT	PCT_EXC_DUPE	PCT_EXC_ADAPTER	PCT_EXC_MAPQ	PCT_EXC_BASEQ	PCT_EXC_OVERLAP	PCT_EXC_OFF_TARGET	FOLD_80_BASE_PENALTY	PCT_TARGET_BASES_1X	PCT_TARGET_BASES_2X	PCT_TARGET_BASES_10X	PCT_TARGET_BASES_20X	PCT_TARGET_BASES_30X	PCT_TARGET_BASES_40X	PCT_TARGET_BASES_50X	PCT_TARGET_BASES_100X	AT_DROPOUT	GC_DROPOUT	HET_SNP_SENSITIVITY	HET_SNP_Q	SAMPLE	LIBRARY	READ_GROUP
NA12878-NA12878-1-CEN-F-EGG5	targets	685969.0	1.0	583784115.0	315609120.0	803288147.0	0.528222	0.471778	0.649087	851.03571	0.338562	0.189225	1568.165278	4873379.0	5.438186	5.469879	5.501573	5.549113	5.577637	5.780475	685969.0	3137454505.0	11713804.0	11713804.0	1724304354.0	9121745.0	9103965.0	1702681382.0	1325405300.0	326281018.0	1.0	0.778718	0.998051	475.649801	468.0	977.0	0.0	0.000749	0.221578	0.0	0.049353	0.017006	0.127306	0.393166	1.328631	0.99977	0.999714	0.999388	0.999064	0.998961	0.998799	0.998641	0.9972	8.687806	0.415116	0.999674	35.0			
X223233-GM2223929-1-CEN-F-EGG5	targets	685969.0	1.0	1541100141.0	858239916.0	1997637665.0	0.545679	0.454321	0.642302	2246.603186	0.34589	0.177505	1603.059131	10271845.0	5.007232	5.017832	5.031966	5.049633	5.064474	5.140797	685969.0	3137454505.0	30278764.0	30278764.0	4455467863.0	22718143.0	22655597.0	4396977722.0	3293239932.0	790869605.0	1.0	0.7503	0.997247	1152.923244	1179.0	3284.0	0.0	0.000365	0.251022	0.0	0.048292	0.017396	0.121911	0.381548	1.198465	0.999799	0.999773	0.999493	0.999235	0.999172	0.999103	0.999025	0.998665	2.612509	0.769494	0.213196	1.0			
X223911-GM2228305-1-CEN-M-EGG5	targets	685969.0	1.0	1694138504.0	936179310.0	2250052889.0	0.538959	0.461041	0.644081	2469.701261	0.342983	0.176332	1587.702209	11321061.0	5.293876	5.305757	5.317638	5.329518	5.346151	5.422187	685969.0	3137454505.0	33606372.0	33606372.0	4939419164.0	25489200.0	25431342.0	4880370703.0	3694908567.0	870977109.0	1.0	0.758463	0.99773	1269.703309	1328.0	4221.0	0.0	0.000346	0.242904	0.0	0.047068	0.016117	0.124012	0.391473	1.243588	0.999794	0.99977	0.999455	0.999321	0.999168	0.999092	0.99906	0.998794	3.771801	0.791499	0.171192	1.0			
X224105-GM2301177-1-CEN-F-EGG5	targets	685969.0	1.0	1751750499.0	962449705.0	2243544955.0	0.547467	0.452533	0.645402	2553.687556	0.349056	0.166506	1616.073088	9687396.0	5.051447	5.075796	5.083913	5.100146	5.119626	5.197544	685969.0	3137454505.0	34050998.0	34050998.0	5018540002.0	24353148.0	24296390.0	4957745159.0	3537616359.0	835616397.0	1.0	0.715196	0.997669	1218.154752	1247.0	2461.0	0.0	0.000384	0.286447	0.0	0.043754	0.015182	0.119633	0.366473	1.190767	0.999797	0.999773	0.999681	0.99934	0.999213	0.999153	0.999112	0.998777	2.691594	0.778875	0.156488	1.0			
X224114-GM2301419-1-CEN-F-EGG5	targets	685969.0	1.0	1500521349.0	842150867.0	1973774275.0	0.542732	0.457268	0.640517	2187.447755	0.343621	0.184924	1589.969394	11352289.0	5.023052	5.043744	5.057539	5.064436	5.076852	5.151344	685969.0	3137454505.0	29715184.0	29715184.0	4366786483.0	23066061.0	23026893.0	4316446491.0	3345866815.0	807521482.0	1.0	0.776238	0.998302	1177.198214	1198.0	2858.0	0.0	0.000307	0.224856	0.0	0.049019	0.016587	0.124074	0.39842	1.209865	0.999602	0.999201	0.998908	0.998628	0.99844	0.998404	0.998326	0.99792	3.526244	0.72057	0.202881	1.0			
X224137-GM2301074-1-CEN-F-EGG5	targets	685969.0	1.0	2164477404.0	1150174022.0	2805933227.0	0.541558	0.458442	0.653003	3155.357464	0.349561	0.174655	1617.458307	13951092.0	5.057119	5.064509	5.079289	5.094068	5.102936	5.156142	685969.0	3137454505.0	42354014.0	42354014.0	6191988115.0	31578512.0	31517910.0	6120584653.0	4555087938.0	1081459818.0	1.0	0.745585	0.998081	1576.543281	1611.0	2565.0	0.0	0.000269	0.255776	0.0	0.051847	0.014288	0.132364	0.369075	1.197981	0.999917	0.999837	0.999504	0.999332	0.999144	0.999067	0.99901	0.998596	3.05428	0.728875	0.033884	0.0			
X224149-GM2301742-1-CEN-M-EGG5	targets	685969.0	1.0	1476953627.0	785684997.0	1918740244.0	0.541123	0.458877	0.652757	2153.090922	0.348902	0.175727	1615.549566	9455233.0	5.209627	5.229845	5.246692	5.260171	5.284431	5.373388	685969.0	3137454505.0	28738094.0	28738094.0	4233149120.0	21459870.0	21407119.0	4181378868.0	3116172837.0	743876503.0	1.0	0.74674	0.997542	1084.417084	1137.0	2708.0	0.0	0.000423	0.25475	0.0	0.044496	0.015175	0.131206	0.376512	1.240752	0.999924	0.999602	0.999343	0.999115	0.999026	0.998934	0.998834	0.998338	3.58956	0.770145	0.294131	2.0			
X224167-GM2301801-1-CEN-F-EGG5	targets	685969.0	1.0	1491397016.0	831997600.0	1908475821.0	0.549023	0.450977	0.641904	2174.146377	0.3484	0.17549	1611.884259	9195664.0	4.919266	4.929424	4.949739	4.959896	4.982243	5.063503	685969.0	3137454505.0	29015134.0	29015134.0	4280706341.0	21095962.0	21057361.0	4231870437.0	3071432390.0	751222881.0	1.0	0.727068	0.99817	1095.126574	1120.0	2197.0	0.0	0.000442	0.274214	0.0	0.044837	0.014655	0.11699	0.371823	1.198169	0.99979	0.99966	0.999366	0.999203	0.999077	0.999022	0.99893	0.998542	2.726317	0.671694	0.27763	1.0			
X224169-GM2300194-1-CEN-F-EGG5	targets	685969.0	1.0	1514225148.0	836208284.0	1897666950.0	0.55329	0.44671	0.644232	2207.425041	0.351893	0.188632	1630.30414	11455761.0	4.887968	4.898095	4.911597	4.928474	4.93455	4.999359	685969.0	3137454505.0	29267138.0	29267138.0	4303080617.0	22630400.0	22564841.0	4248100382.0	3279708174.0	811699492.0	1.0	0.773236	0.997103	1183.288883	1208.0	4051.0	0.0	0.0005	0.227959	0.0	0.044603	0.017313	0.128303	0.390786	1.206207	0.999784	0.999592	0.999396	0.999173	0.999086	0.999025	0.998985	0.998656	2.876775	0.678585	0.193477	1.0			
X224173-GM2302204-1-CEN-F-EGG5	targets	685969.0	1.0	1813208828.0	995887527.0	2456138028.0	0.533518	0.466482	0.645478	2643.281005	0.340227	0.165324	1575.081619	10523058.0	5.197059	5.209965	5.218568	5.235776	5.251262	5.323533	685969.0	3137454505.0	36228176.0	36228176.0	5329412752.0	26338479.0	26283863.0	5265234383.0	3818281096.0	881082229.0	1.0	0.727016	0.997926	1284.43447	1312.0	2332.0	0.0	0.000403	0.274813	0.0	0.055126	0.015143	0.118282	0.369333	1.194823	0.999796	0.999767	0.99965	0.999491	0.999219	0.999092	0.999031	0.998767	3.174749	0.634412	0.117929	1.0			
X224192-GM2301850-1-CEN-F-EGG5	targets	685969.0	1.0	2482572192.0	1356476954.0	3186241044.0	0.546461	0.453539	0.646663	3619.073445	0.348668	0.15744	1616.257546	12212603.0	5.284852	5.293715	5.308485	5.320302	5.334482	5.405381	685969.0	3137454505.0	48249444.0	48249444.0	7120164927.0	33803210.0	33693261.0	7025290190.0	4907165784.0	1120999399.0	1.0	0.700593	0.996747	1634.183759	1662.0	3347.0	0.0	0.00025	0.3015	0.0	0.048102	0.016177	0.114679	0.360011	1.203375	0.999961	0.999691	0.999414	0.999284	0.999152	0.999068	0.999023	0.998854	3.003545	0.661745	0.028623	0.0			
X224196-GM2302259-1-CEN-F-EGG5	targets	685969.0	1.0	1815801164.0	1029210864.0	2333289963.0	0.54941	0.45059	0.63824	2647.060092	0.345642	0.157997	1603.813494	9021789.0	5.204629	5.224294	5.233034	5.250514	5.271491	5.365883	685969.0	3137454505.0	35469056.0	35469056.0	5253422348.0	24933553.0	24842252.0	5178301991.0	3629340644.0	830022975.0	1.0	0.702966	0.996338	1210.000707	1237.0	2738.0	0.0	0.000442	0.299125	0.0	0.040683	0.01801	0.108915	0.373011	1.186275	0.999793	0.999776	0.999494	0.999319	0.999255	0.999168	0.999119	0.998908	2.870547	0.635054	0.154334	1.0			
X224199-GM2302260-1-CEN-F-EGG5	targets	685969.0	1.0	2314475793.0	1315926098.0	3168227710.0	0.53399	0.46601	0.637526	3374.023889	0.336113	0.145501	1557.055917	10281418.0	5.409029	5.426521	5.441097	5.452758	5.473748	5.557709	685969.0	3137454505.0	46559504.0	46559504.0	6885999864.0	31558321.0	31467906.0	6798629601.0	4593555554.0	1001922244.0	1.0	0.677806	0.997135	1460.594056	1498.0	3927.0	0.0	0.000211	0.324341	0.0	0.047555	0.015041	0.103776	0.361948	1.176949	0.999983	0.99979	0.999538	0.999471	0.99929	0.999166	0.999122	0.998978	2.187542	0.704981	0.040671	0.0			
X224227-GM2302052-1-N2300668-CEN-F-EGG5	targets	685969.0	1.0	1847955838.0	1015500768.0	2367241406.0	0.547433	0.452567	0.645358	2693.934913	0.34894	0.17174	1615.864309	10920673.0	5.120423	5.133107	5.147906	5.164819	5.180041	5.251075	685969.0	3137454505.0	35963154.0	35963154.0	5295919423.0	26032481.0	25976477.0	5230698012.0	3778662259.0	909519417.0	1.0	0.723865	0.997849	1325.88997	1340.0	4590.0	0.0	0.000403	0.277599	0.0	0.044394	0.015672	0.118106	0.370384	1.228814	0.999213	0.999106	0.998982	0.998719	0.998598	0.998436	0.998345	0.997717	4.993771	0.589522	0.119005	1.0			
X224259-GM2301851-1-CEN-M-EGG5	targets	685969.0	1.0	2158705496.0	1186017207.0	2858627021.0	0.53918	0.46082	0.645406	3146.943223	0.344004	0.159311	1591.622532	10955877.0	5.33433	5.349686	5.359924	5.372721	5.386542	5.466395	685969.0	3137454505.0	42458702.0	42458702.0	6275237619.0	29561811.0	29501809.0	6203349724.0	4309875137.0	999714689.0	1.0	0.696249	0.99797	1457.3759	1528.0	4364.0	0.0	0.000346	0.305234	0.0	0.045195	0.013488	0.113374	0.361585	1.232975	0.9998	0.999783	0.999477	0.999361	0.999254	0.999165	0.999089	0.99887	3.016519	0.89702	0.113617	1.0			
X224262-GM2301875-1-CEN-M-EGG5	targets	685969.0	1.0	1599388822.0	920646535.0	2216439213.0	0.532049	0.467951	0.634669	2331.575949	0.333442	0.153355	1544.442677	8079438.0	5.794641	5.818404	5.842167	5.865929	5.889692	6.013259	685969.0	3137454505.0	32410554.0	32410554.0	4796602572.0	22673039.0	22612859.0	4736474570.0	3306122953.0	735581174.0	1.0	0.699557	0.997346	1072.324222	1134.0	1854.0	0.0	0.000346	0.301987	0.0	0.043489	0.015169	0.110704	0.373386	1.284221	0.999914	0.99978	0.999446	0.99928	0.999198	0.999138	0.999067	0.998773	1.694803	2.400691	0.311978	2.0			
X224279-GM2208438-1-CEN-F-EGG5	targets	685969.0	1.0	2008991371.0	1074215905.0	2777795961.0	0.526055	0.473945	0.651591	2928.691196	0.33816	0.153218	1567.758115	10094009.0	7.110291	7.140211	7.17013	7.20005	7.22997	7.373584	685969.0	3137454505.0	40396436.0	40396436.0	5940941986.0	28994829.0	28916176.0	5861003237.0	4195169844.0	910258682.0	1.0	0.717757	0.997287	1326.967665	1320.0	3711.0	0.0	0.000365	0.284223	0.0	0.057937	0.016186	0.118299	0.368082	1.537622	0.999799	0.999793	0.99965	0.999571	0.999356	0.999312	0.999274	0.99894	12.352498	0.419809	0.27443	1.0			
