Sample	BAIT_SET	BAIT_TERRITORY	BAIT_DESIGN_EFFICIENCY	ON_BAIT_BASES	NEAR_BAIT_BASES	OFF_BAIT_BASES	PCT_SELECTED_BASES	PCT_OFF_BAIT	ON_BAIT_VS_SELECTED	MEAN_BAIT_COVERAGE	PCT_USABLE_BASES_ON_BAIT	PCT_USABLE_BASES_ON_TARGET	FOLD_ENRICHMENT	HS_LIBRARY_SIZE	HS_PENALTY_10X	HS_PENALTY_20X	HS_PENALTY_30X	HS_PENALTY_40X	HS_PENALTY_50X	HS_PENALTY_100X	TARGET_TERRITORY	GENOME_SIZE	TOTAL_READS	PF_READS	PF_BASES	PF_UNIQUE_READS	PF_UQ_READS_ALIGNED	PF_BASES_ALIGNED	PF_UQ_BASES_ALIGNED	ON_TARGET_BASES	PCT_PF_READS	PCT_PF_UQ_READS	PCT_PF_UQ_READS_ALIGNED	MEAN_TARGET_COVERAGE	MEDIAN_TARGET_COVERAGE	MAX_TARGET_COVERAGE	MIN_TARGET_COVERAGE	ZERO_CVG_TARGETS_PCT	PCT_EXC_DUPE	PCT_EXC_ADAPTER	PCT_EXC_MAPQ	PCT_EXC_BASEQ	PCT_EXC_OVERLAP	PCT_EXC_OFF_TARGET	FOLD_80_BASE_PENALTY	PCT_TARGET_BASES_1X	PCT_TARGET_BASES_2X	PCT_TARGET_BASES_10X	PCT_TARGET_BASES_20X	PCT_TARGET_BASES_30X	PCT_TARGET_BASES_40X	PCT_TARGET_BASES_50X	PCT_TARGET_BASES_100X	AT_DROPOUT	GC_DROPOUT	HET_SNP_SENSITIVITY	HET_SNP_Q	SAMPLE	LIBRARY	READ_GROUP
NA12878-NA12878-1-CEN-F-EGG5_S48_L001	targets	685969.0	1.0	1689949331.0	876778875.0	2106031997.0	0.549296	0.450704	0.658406	2463.594318	0.357602	0.184536	1654.143324	11568593.0	5.566915	5.57815	5.600622	5.611858	5.636576	5.717474	685969.0	3137454505.0	32381782.0	32381782.0	4725782274.0	24565116.0	24519871.0	4672760203.0	3544226397.0	872076294.0	1.0	0.758609	0.998158	1271.305692	1234.0	2793.0	0.0	0.000327	0.241513	0.0	0.050712	0.014678	0.13133	0.375175	1.365527	0.999802	0.999784	0.99955	0.999466	0.999316	0.999184	0.999067	0.998837	10.130979	0.397121	0.240896	1.0			
Oncospan-Oncospan-1-CEN-U-EGG5_S28_L001	targets	685969.0	1.0	2200449155.0	1150454137.0	2811508741.0	0.543765	0.456235	0.656673	3207.796788	0.35366	0.168805	1633.178118	12479362.0	5.418863	5.43391	5.448957	5.45648	5.473032	5.545258	685969.0	3137454505.0	42638846.0	42638846.0	6221930798.0	30655694.0	30582701.0	6162412033.0	4428337215.0	1050295980.0	1.0	0.718962	0.997619	1531.112893	1540.0	4254.0	0.0	0.000307	0.281395	0.0	0.046841	0.014637	0.127091	0.359627	1.281266	0.999803	0.999778	0.999494	0.999353	0.999257	0.999114	0.999058	0.998832	6.346351	0.602539	0.09415	0.0			
X222867-GM2221499-1-CEN-F-EGG5_S2_L001	targets	685969.0	1.0	1625669763.0	836109473.0	2099898079.0	0.539665	0.460335	0.660364	2369.88809	0.352452	0.174538	1629.974141	10333715.0	5.198175	5.209212	5.227607	5.242324	5.255568	5.343865	685969.0	3137454505.0	31704776.0	31704776.0	4612461381.0	23599616.0	23560157.0	4561677315.0	3395110084.0	805050318.0	1.0	0.744355	0.998328	1173.595772	1181.0	3087.0	0.0	0.000442	0.255732	0.0	0.05162	0.013922	0.136595	0.36569	1.228896	0.999793	0.999732	0.999394	0.999184	0.999115	0.999057	0.998988	0.998603	5.203188	0.588716	0.223777	1.0			
X222876-GM2221361-1-CEN-F-EGG5_S1_L001	targets	685969.0	1.0	1696138718.0	822335717.0	1995396874.0	0.557941	0.442059	0.673479	2472.617156	0.371474	0.188494	1718.640897	11784409.0	5.639855	5.650633	5.672187	5.682965	5.706675	5.792894	685969.0	3137454505.0	31504380.0	31504380.0	4565963275.0	23975854.0	23933901.0	4513871309.0	3434911040.0	860658392.0	1.0	0.761032	0.99825	1254.660767	1188.0	4538.0	0.0	0.000461	0.239032	0.0	0.048969	0.014638	0.149009	0.357723	1.408149	0.999879	0.999679	0.999391	0.999261	0.999115	0.99898	0.998908	0.998548	11.142856	0.545161	0.28279	1.0			
X222909-GM2221779-1-CEN-F-EGG5_S16_L001	targets	685969.0	1.0	1774202629.0	945342029.0	2328378110.0	0.538745	0.461255	0.65239	2586.418087	0.347644	0.17192	1607.546203	10980375.0	5.247526	5.259878	5.276346	5.290756	5.309284	5.378452	685969.0	3137454505.0	35010242.0	35010242.0	5103506195.0	25990232.0	25948750.0	5047922768.0	3746548798.0	877396243.0	1.0	0.742361	0.998404	1279.06107	1286.0	2667.0	0.0	0.000307	0.257804	0.0	0.04944	0.014378	0.127732	0.376872	1.225154	0.999977	0.999786	0.999497	0.999449	0.999239	0.999166	0.999106	0.998835	5.193667	0.608479	0.145126	1.0			
X222910-GM2221798-1-CEN-F-EGG5_S17_L001	targets	685969.0	1.0	2327278999.0	1207325347.0	3021434954.0	0.539137	0.460863	0.658427	3392.688298	0.351114	0.153384	1623.603017	10975386.0	5.294357	5.310773	5.321717	5.343606	5.356739	5.435536	685969.0	3137454505.0	45583880.0	45583880.0	6628278604.0	31100909.0	31045331.0	6556039300.0	4471531076.0	1016671335.0	1.0	0.682279	0.998213	1482.09516	1502.0	3486.0	0.0	0.000327	0.317952	0.0	0.04671	0.011785	0.122873	0.345645	1.20105	0.999953	0.999805	0.999512	0.999378	0.999293	0.999189	0.999133	0.998923	4.216351	0.563062	0.050021	0.0			
X222911-GM2221799-1-CEN-F-EGG5_S18_L001	targets	685969.0	1.0	2005030704.0	1001411309.0	2605099107.0	0.53576	0.46424	0.666911	2922.917368	0.353243	0.163897	1634.224907	11097117.0	5.249891	5.26361	5.277329	5.297907	5.310254	5.38708	685969.0	3137454505.0	39118078.0	39118078.0	5676059928.0	28012152.0	27954321.0	5611541120.0	4017906318.0	930287080.0	1.0	0.716092	0.997936	1356.1649	1370.0	4527.0	0.0	0.000403	0.283992	0.0	0.050581	0.012706	0.139067	0.347918	1.213028	0.999741	0.999719	0.999539	0.999321	0.999208	0.99913	0.99905	0.998838	4.598546	0.498837	0.099493	0.0			
X222912-GM2221605-1-CEN-F-EGG5_S12_L001	targets	685969.0	1.0	1603017529.0	828426396.0	2053414485.0	0.542145	0.457855	0.659286	2336.865848	0.353253	0.176471	1634.791918	10443445.0	5.206402	5.228167	5.235421	5.249931	5.276048	5.354399	685969.0	3137454505.0	31173444.0	31173444.0	4537868822.0	23453608.0	23403612.0	4484858410.0	3373604852.0	800800280.0	1.0	0.752359	0.997868	1167.400101	1177.0	3616.0	0.0	0.00048	0.247779	0.0	0.046976	0.01562	0.137129	0.37398	1.232735	0.99986	0.999768	0.999503	0.999338	0.999223	0.999141	0.999066	0.998716	5.261359	0.543064	0.229953	1.0			
X222914-GM2221577-1-CEN-F-EGG5_S11_L001	targets	685969.0	1.0	2002230542.0	1044411134.0	2522267557.0	0.547081	0.452919	0.657193	2918.835315	0.355761	0.17176	1644.435674	11711508.0	5.120176	5.133707	5.149494	5.16077	5.172948	5.248723	685969.0	3137454505.0	38638470.0	38638470.0	5628029224.0	27956137.0	27913677.0	5568909233.0	4029435262.0	966671291.0	1.0	0.723531	0.998481	1409.205505	1426.0	3982.0	0.0	0.000423	0.276441	0.0	0.0443	0.01301	0.130382	0.362322	1.225396	0.999885	0.999783	0.999497	0.999325	0.999149	0.999095	0.999076	0.998878	4.88898	0.546416	0.085821	0.0			
X222915-GM2221841-1-CEN-F-EGG5_S21_L001	targets	685969.0	1.0	2169045361.0	1141668463.0	2873619503.0	0.535339	0.464661	0.655159	3162.016594	0.34636	0.151631	1604.163728	10245716.0	5.55344	5.569244	5.590317	5.600853	5.619818	5.708322	685969.0	3137454505.0	42884206.0	42884206.0	6262398878.0	29895166.0	29815458.0	6184333327.0	4305428701.0	949574588.0	1.0	0.697114	0.997334	1384.282071	1393.0	3155.0	0.0	0.000365	0.303817	0.0	0.049432	0.015135	0.119637	0.358471	1.220707	0.999799	0.999783	0.999557	0.999401	0.999328	0.999214	0.999125	0.998959	5.481714	0.481645	0.088594	0.0			
X222916-GM2221717-1-CEN-F-EGG5_S14_L001	targets	685969.0	1.0	1906082189.0	1002059202.0	2424889421.0	0.545307	0.454693	0.65543	2778.671032	0.353535	0.166502	1634.70909	10528116.0	5.199152	5.212312	5.225471	5.245211	5.262319	5.336014	685969.0	3137454505.0	37027318.0	37027318.0	5391492766.0	26565559.0	26522398.0	5333030812.0	3826081939.0	897695737.0	1.0	0.717458	0.998375	1308.653506	1326.0	2599.0	0.0	0.000269	0.282569	0.0	0.044418	0.013733	0.126997	0.363994	1.216221	0.999857	0.999776	0.999499	0.999308	0.99915	0.999066	0.999025	0.998748	4.495101	0.592187	0.123052	1.0			
X222917-GM2221504-1-CEN-F-EGG5_S3_L001	targets	685969.0	1.0	1810223632.0	942467400.0	2332498774.0	0.541315	0.458685	0.65762	2638.929211	0.351983	0.171239	1628.163482	10992215.0	5.127928	5.146453	5.154687	5.171153	5.181033	5.260072	685969.0	3137454505.0	35343928.0	35343928.0	5142931804.0	25919684.0	25874656.0	5085189806.0	3729239603.0	880670311.0	1.0	0.733356	0.998263	1283.833979	1302.0	3143.0	0.0	0.000346	0.266647	0.0	0.048506	0.014669	0.133272	0.363764	1.207746	0.999891	0.999778	0.999506	0.999343	0.999219	0.999171	0.999073	0.998791	3.94323	0.64319	0.128892	1.0			
X222924-GM2221924-1-CEN-F-EGG5_S27_L001	targets	685969.0	1.0	1957389719.0	1009247493.0	2543150189.0	0.53843	0.46157	0.659801	2853.46673	0.350914	0.162289	1624.857983	10367879.0	6.11513	6.142403	6.15604	6.183313	6.199677	6.319679	685969.0	3137454505.0	38242460.0	38242460.0	5577979625.0	27196920.0	27133007.0	5509787401.0	3915509263.0	905243453.0	1.0	0.711171	0.99765	1319.656505	1301.0	2744.0	0.0	0.000327	0.289354	0.0	0.051322	0.014321	0.12524	0.355505	1.409889	0.999975	0.99978	0.999617	0.99949	0.99935	0.999233	0.999181	0.998969	10.742683	0.272118	0.233709	1.0			
X222925-GM2221925-1-CEN-F-EGG5_S26_L001	targets	685969.0	1.0	1646091592.0	843649219.0	2105281310.0	0.541834	0.458166	0.66115	2399.658865	0.354341	0.169852	1638.473182	9579508.0	5.285961	5.308266	5.323136	5.341724	5.361798	5.451018	685969.0	3137454505.0	31907944.0	31907944.0	4645497682.0	23079008.0	23042369.0	4595022121.0	3322939439.0	789046776.0	1.0	0.7233	0.998412	1150.265939	1152.0	2909.0	0.0	0.000307	0.276839	0.0	0.049765	0.013876	0.132477	0.355364	1.25165	0.999969	0.999773	0.999532	0.999382	0.999213	0.999154	0.999095	0.998848	6.251619	0.376383	0.26225	1.0			
X222927-GM2222076-1-CEN-M-EGG5_S30_L001	targets	685969.0	1.0	2080768047.0	1083203574.0	2738820222.0	0.536013	0.463987	0.657644	3033.326647	0.348295	0.155053	1612.275108	10111180.0	5.498065	5.512838	5.527611	5.542384	5.563066	5.657612	685969.0	3137454505.0	40964600.0	40964600.0	5974161915.0	28327707.0	28259218.0	5902791843.0	4078305891.0	926311120.0	1.0	0.691517	0.997582	1350.368778	1405.0	2389.0	0.0	0.000346	0.309089	0.0	0.046519	0.013791	0.122099	0.351613	1.24458	0.999969	0.999869	0.999456	0.999328	0.99921	0.999099	0.99906	0.998885	4.382697	0.7401	0.141152	1.0			
X222947-GM2222075-1-CEN-M-EGG5_S31_L001	targets	685969.0	1.0	2194914112.0	1124800247.0	2889869561.0	0.534611	0.465389	0.661176	3199.727848	0.349659	0.161848	1616.694561	11626198.0	5.563853	5.57914	5.599523	5.609714	5.634173	5.70755	685969.0	3137454505.0	43075148.0	43075148.0	6277307368.0	30457934.0	30408130.0	6209583920.0	4388204663.0	1015968299.0	1.0	0.707088	0.998365	1481.07028	1522.0	3704.0	0.0	0.000327	0.293317	0.0	0.050952	0.012907	0.12707	0.35218	1.285651	0.999802	0.999786	0.999622	0.999408	0.999316	0.999204	0.999156	0.998927	6.49465	0.590867	0.121385	1.0			
X222951-GM2221995-1-CEN-F-EGG5_S25_L001	targets	685969.0	1.0	2412334350.0	1243582548.0	3030732499.0	0.546749	0.453251	0.659844	3516.681293	0.356416	0.162899	1650.068205	12675828.0	5.27862	5.295224	5.311828	5.32013	5.331753	5.398169	685969.0	3137454505.0	46668602.0	46668602.0	6768313732.0	33102893.0	33025992.0	6686649397.0	4738396574.0	1102553693.0	1.0	0.709318	0.997677	1607.29376	1621.0	3028.0	0.0	0.000423	0.291365	0.0	0.043966	0.014482	0.129269	0.35607	1.226006	0.999966	0.999943	0.99955	0.999315	0.999223	0.999168	0.999083	0.998915	5.279579	0.502184	0.036242	0.0			
